date,source,target,value
2014-08-25 (Monday),Lever Office,Mass MoCA,3
2014-08-25 (Monday),Mass MoCA,Lever Office,2
2014-09-05 (Friday),Lever Office,Mass MoCA,2
2014-09-05 (Friday),Mass MoCA,Lever Office,7
2014-09-25 (Thursday),Lever Office,Mass MoCA,4
2014-09-25 (Thursday),Mass MoCA,Lever Office,26
2014-09-26 (Friday),Lever Office,Mass MoCA,18
2014-09-26 (Friday),Mass MoCA,Lever Office,5
2014-09-27 (Saturday),Lever Office,Mass MoCA,6
2014-09-27 (Saturday),Mass MoCA,Lever Office,14
2014-09-28 (Sunday),Lever Office,Mass MoCA,3
2014-09-28 (Sunday),Mass MoCA,Lever Office,2
2014-09-29 (Monday),Mass MoCA,Lever Office,10
2014-09-30 (Tuesday),Mass MoCA,Lever Office,3
2014-10-01 (Wednesday),Lever Office,Mass MoCA,2
2014-10-01 (Wednesday),Mass MoCA,Lever Office,5
2014-10-02 (Thursday),Lever Office,Mass MoCA,1
2014-10-02 (Thursday),Mass MoCA,Lever Office,10
2014-10-03 (Friday),Lever Office,Mass MoCA,3
2014-10-03 (Friday),Mass MoCA,Lever Office,9
2014-10-10 (Friday),Lever Office,Mass MoCA,2
2014-10-10 (Friday),Mass MoCA,Lever Office,10
2014-10-11 (Saturday),Lever Office,Mass MoCA,11
2014-10-11 (Saturday),Mass MoCA,Lever Office,24
2014-10-12 (Sunday),Lever Office,Mass MoCA,12
2014-10-12 (Sunday),Mass MoCA,Lever Office,24
2014-10-13 (Monday),Lever Office,Mass MoCA,5
2014-10-13 (Monday),Mass MoCA,Lever Office,10
2014-10-14 (Tuesday),Lever Office,Mass MoCA,1
2014-10-15 (Wednesday),Lever Office,Mass MoCA,2
2014-10-15 (Wednesday),Mass MoCA,Lever Office,6
2014-10-16 (Thursday),Lever Office,Mass MoCA,2
2014-10-16 (Thursday),Mass MoCA,Lever Office,6
2014-10-17 (Friday),Lever Office,Mass MoCA,5
2014-10-17 (Friday),Lever Office,Spring Street ,6
2014-10-17 (Friday),Mass MoCA,Lever Office,11
2014-10-17 (Friday),Mass MoCA,Spring Street ,8
2014-10-17 (Friday),Spring Street ,Lever Office,11
2014-10-17 (Friday),Spring Street ,Mass MoCA,1
2014-10-18 (Saturday),Lever Office,Mass MoCA,27
2014-10-18 (Saturday),Mass MoCA,Lever Office,25
2014-10-19 (Sunday),Lever Office,Mass MoCA,5
2014-10-19 (Sunday),Mass MoCA,Lever Office,14
2014-10-20 (Monday),Lever Office,Mass MoCA,2
2014-10-20 (Monday),Lever Office,Spring Street ,4
2014-10-20 (Monday),Mass MoCA,Lever Office,5
2014-10-20 (Monday),Mass MoCA,Spring Street ,6
2014-10-20 (Monday),Spring Street ,Lever Office,2
2014-10-21 (Tuesday),Lever Office,Spring Street ,5
2014-10-21 (Tuesday),Mass MoCA,Lever Office,1
2014-10-21 (Tuesday),Mass MoCA,Spring Street ,1
2014-10-21 (Tuesday),Spring Street ,Lever Office,12
2014-10-21 (Tuesday),Spring Street ,Mass MoCA,3
2014-10-22 (Wednesday),Lever Office,Mass MoCA,1
2014-10-22 (Wednesday),Lever Office,Spring Street ,7
2014-10-22 (Wednesday),Mass MoCA,Lever Office,5
2014-10-22 (Wednesday),Mass MoCA,Spring Street ,10
2014-10-22 (Wednesday),Spring Street ,Lever Office,6
2014-10-22 (Wednesday),Spring Street ,Mass MoCA,13
2014-10-23 (Thursday),Lever Office,Mass MoCA,10
2014-10-23 (Thursday),Lever Office,Spring Street ,4
2014-10-23 (Thursday),Mass MoCA,Lever Office,7
2014-10-23 (Thursday),Mass MoCA,Spring Street ,8
2014-10-23 (Thursday),Spring Street ,Lever Office,11
2014-10-23 (Thursday),Spring Street ,Mass MoCA,14
2014-10-24 (Friday),Lever Office,Mass MoCA,4
2014-10-24 (Friday),Lever Office,Spring Street ,10
2014-10-24 (Friday),Mass MoCA,Lever Office,11
2014-10-24 (Friday),Mass MoCA,Spring Street ,13
2014-10-24 (Friday),Spring Street ,Lever Office,23
2014-10-24 (Friday),Spring Street ,Mass MoCA,35
2014-10-25 (Saturday),Lever Office,Mass MoCA,13
2014-10-25 (Saturday),Lever Office,Spring Street ,10
2014-10-25 (Saturday),Mass MoCA,Lever Office,7
2014-10-25 (Saturday),Mass MoCA,Spring Street ,19
2014-10-25 (Saturday),Spring Street ,Lever Office,25
2014-10-25 (Saturday),Spring Street ,Mass MoCA,13
2014-10-26 (Sunday),Lever Office,Mass MoCA,2
2014-10-26 (Sunday),Lever Office,Spring Street ,8
2014-10-26 (Sunday),Mass MoCA,Lever Office,4
2014-10-26 (Sunday),Mass MoCA,Spring Street ,9
2014-10-26 (Sunday),Spring Street ,Lever Office,3
2014-10-26 (Sunday),Spring Street ,Mass MoCA,4
2014-10-27 (Monday),Lever Office,Mass MoCA,1
2014-10-27 (Monday),Lever Office,Spring Street ,4
2014-10-27 (Monday),Mass MoCA,Lever Office,5
2014-10-27 (Monday),Mass MoCA,Spring Street ,9
2014-10-27 (Monday),Spring Street ,Lever Office,4
2014-10-27 (Monday),Spring Street ,Mass MoCA,10
2014-10-28 (Tuesday),Lever Office,Spring Street ,3
2014-10-28 (Tuesday),Mass MoCA,Lever Office,2
2014-10-28 (Tuesday),Spring Street ,Lever Office,11
2014-10-29 (Wednesday),Lever Office,Mass MoCA,1
2014-10-29 (Wednesday),Lever Office,Spring Street ,7
2014-10-29 (Wednesday),Mass MoCA,Lever Office,1
2014-10-29 (Wednesday),Mass MoCA,Spring Street ,3
2014-10-29 (Wednesday),Spring Street ,Lever Office,11
2014-10-29 (Wednesday),Spring Street ,Mass MoCA,2
2014-10-30 (Thursday),Lever Office,Spring Street ,4
2014-10-30 (Thursday),Mass MoCA,Lever Office,5
2014-10-30 (Thursday),Mass MoCA,Spring Street ,3
2014-10-30 (Thursday),Spring Street ,Lever Office,10
2014-10-30 (Thursday),Spring Street ,Mass MoCA,7
2014-10-31 (Friday),Lever Office,Mass MoCA,4
2014-10-31 (Friday),Lever Office,Spring Street ,7
2014-10-31 (Friday),Mass MoCA,Lever Office,6
2014-10-31 (Friday),Mass MoCA,Spring Street ,3
2014-10-31 (Friday),Spring Street ,Lever Office,11
2014-10-31 (Friday),Spring Street ,Mass MoCA,7
2014-11-01 (Saturday),Lever Office,Mass MoCA,1
2014-11-01 (Saturday),Lever Office,Spring Street ,8
2014-11-01 (Saturday),Mass MoCA,Lever Office,3
2014-11-01 (Saturday),Mass MoCA,Spring Street ,11
2014-11-01 (Saturday),Spring Street ,Lever Office,15
2014-11-01 (Saturday),Spring Street ,Mass MoCA,38
2014-11-02 (Sunday),Lever Office,Spring Street ,3
2014-11-02 (Sunday),Mass MoCA,Lever Office,3
2014-11-02 (Sunday),Mass MoCA,Spring Street ,6
2014-11-02 (Sunday),Spring Street ,Lever Office,6
2014-11-02 (Sunday),Spring Street ,Mass MoCA,8
2014-11-03 (Monday),Lever Office,Mass MoCA,1
2014-11-03 (Monday),Lever Office,Spring Street ,9
2014-11-03 (Monday),Mass MoCA,Spring Street ,1
2014-11-03 (Monday),Spring Street ,Lever Office,7
2014-11-03 (Monday),Spring Street ,Mass MoCA,2
2014-11-04 (Tuesday),Lever Office,Mass MoCA,2
2014-11-04 (Tuesday),Lever Office,Spring Street ,10
2014-11-04 (Tuesday),Mass MoCA,Lever Office,4
2014-11-04 (Tuesday),Mass MoCA,Spring Street ,3
2014-11-04 (Tuesday),Spring Street ,Lever Office,12
2014-11-04 (Tuesday),Spring Street ,Mass MoCA,2
2014-11-05 (Wednesday),Lever Office,Mass MoCA,2
2014-11-05 (Wednesday),Mass MoCA,Lever Office,4
2014-11-05 (Wednesday),Spring Street ,Lever Office,1
2014-11-06 (Thursday),Lever Office,Mass MoCA,1
2014-11-06 (Thursday),Mass MoCA,Lever Office,3
2014-11-06 (Thursday),Mass MoCA,Spring Street ,10
2014-11-06 (Thursday),Spring Street ,Lever Office,3
2014-11-06 (Thursday),Spring Street ,Mass MoCA,24
2014-11-07 (Friday),Lever Office,Mass MoCA,5
2014-11-07 (Friday),Lever Office,Spring Street ,11
2014-11-07 (Friday),Mass MoCA,Lever Office,13
2014-11-07 (Friday),Mass MoCA,Spring Street ,10
2014-11-07 (Friday),Spring Street ,Lever Office,19
2014-11-07 (Friday),Spring Street ,Mass MoCA,51
2014-11-08 (Saturday),Lever Office,Mass MoCA,13
2014-11-08 (Saturday),Lever Office,Spring Street ,2
2014-11-08 (Saturday),Mass MoCA,Lever Office,15
2014-11-08 (Saturday),Mass MoCA,Spring Street ,21
2014-11-08 (Saturday),Spring Street ,Lever Office,16
2014-11-08 (Saturday),Spring Street ,Mass MoCA,21
2014-11-09 (Sunday),Lever Office,Mass MoCA,6
2014-11-09 (Sunday),Lever Office,Spring Street ,5
2014-11-09 (Sunday),Mass MoCA,Lever Office,4
2014-11-09 (Sunday),Mass MoCA,Spring Street ,6
2014-11-09 (Sunday),Spring Street ,Lever Office,2
2014-11-09 (Sunday),Spring Street ,Mass MoCA,8
2014-11-10 (Monday),Lever Office,Mass MoCA,1
2014-11-10 (Monday),Lever Office,Spring Street ,5
2014-11-10 (Monday),Mass MoCA,Lever Office,9
2014-11-10 (Monday),Mass MoCA,Spring Street ,5
2014-11-10 (Monday),Spring Street ,Lever Office,10
2014-11-10 (Monday),Spring Street ,Mass MoCA,4
2014-11-11 (Tuesday),Lever Office,Spring Street ,2
2014-11-11 (Tuesday),Mass MoCA,Lever Office,2
2014-11-11 (Tuesday),Mass MoCA,Spring Street ,1
2014-11-11 (Tuesday),Spring Street ,Lever Office,6
2014-11-11 (Tuesday),Spring Street ,Mass MoCA,1
2014-11-12 (Wednesday),Lever Office,Mass MoCA,4
2014-11-12 (Wednesday),Lever Office,Spring Street ,7
2014-11-12 (Wednesday),Mass MoCA,Lever Office,8
2014-11-12 (Wednesday),Mass MoCA,Spring Street ,1
2014-11-12 (Wednesday),Spring Street ,Lever Office,5
2014-11-12 (Wednesday),Spring Street ,Mass MoCA,3
2014-11-13 (Thursday),Lever Office,Mass MoCA,2
2014-11-13 (Thursday),Lever Office,Spring Street ,11
2014-11-13 (Thursday),Mass MoCA,Lever Office,2
2014-11-13 (Thursday),Mass MoCA,Spring Street ,11
2014-11-13 (Thursday),Spring Street ,Lever Office,10
2014-11-13 (Thursday),Spring Street ,Mass MoCA,13
2014-11-14 (Friday),Lever Office,Mass MoCA,2
2014-11-14 (Friday),Lever Office,Spring Street ,5
2014-11-14 (Friday),Mass MoCA,Lever Office,5
2014-11-14 (Friday),Mass MoCA,Spring Street ,1
2014-11-14 (Friday),Spring Street ,Lever Office,9
2014-11-14 (Friday),Spring Street ,Mass MoCA,26
2014-11-15 (Saturday),Lever Office,Mass MoCA,11
2014-11-15 (Saturday),Lever Office,Spring Street ,15
2014-11-15 (Saturday),Mass MoCA,Lever Office,17
2014-11-15 (Saturday),Mass MoCA,Spring Street ,20
2014-11-15 (Saturday),Spring Street ,Lever Office,16
2014-11-15 (Saturday),Spring Street ,Mass MoCA,5
2014-11-16 (Sunday),Lever Office,Mass MoCA,4
2014-11-16 (Sunday),Mass MoCA,Lever Office,6
2014-11-16 (Sunday),Mass MoCA,Spring Street ,1
2014-11-16 (Sunday),Spring Street ,Lever Office,2
2014-11-17 (Monday),Lever Office,Mass MoCA,3
2014-11-17 (Monday),Lever Office,Spring Street ,8
2014-11-17 (Monday),Mass MoCA,Lever Office,3
2014-11-17 (Monday),Mass MoCA,Spring Street ,7
2014-11-17 (Monday),Spring Street ,Mass MoCA,3
2014-11-18 (Tuesday),Lever Office,Spring Street ,6
2014-11-18 (Tuesday),Mass MoCA,Lever Office,1
2014-11-18 (Tuesday),Mass MoCA,Spring Street ,2
2014-11-18 (Tuesday),Spring Street ,Lever Office,7
2014-11-18 (Tuesday),Spring Street ,Mass MoCA,1
2014-11-19 (Wednesday),Lever Office,Mass MoCA,2
2014-11-19 (Wednesday),Lever Office,Spring Street ,9
2014-11-19 (Wednesday),Mass MoCA,Lever Office,3
2014-11-19 (Wednesday),Mass MoCA,Spring Street ,6
