LOCATION,DATE,COUNT
"Lever Office, North Adams",2014-08-25,150
"Lever Office, North Adams",2014-09-05,135
"Lever Office, North Adams",2014-09-06,67
"Lever Office, North Adams",2014-09-07,57
"Lever Office, North Adams",2014-09-08,95
"Lever Office, North Adams",2014-09-10,132
"Lever Office, North Adams",2014-09-23,61
"Lever Office, North Adams",2014-09-24,132
"Lever Office, North Adams",2014-09-25,185
"Lever Office, North Adams",2014-09-26,190
"Lever Office, North Adams",2014-09-27,93
"Lever Office, North Adams",2014-09-28,48
"Lever Office, North Adams",2014-09-29,140
"Lever Office, North Adams",2014-09-30,149
"Lever Office, North Adams",2014-10-01,147
"Lever Office, North Adams",2014-10-02,129
"Lever Office, North Adams",2014-10-03,141
"Lever Office, North Adams",2014-10-10,197
"Lever Office, North Adams",2014-10-11,132
"Lever Office, North Adams",2014-10-12,53
"Lever Office, North Adams",2014-10-13,82
"Lever Office, North Adams",2014-10-14,186
"Lever Office, North Adams",2014-10-15,187
"Lever Office, North Adams",2014-10-16,163
"Lever Office, North Adams",2014-10-17,102
"Lever Office, North Adams",2014-10-18,145
"Lever Office, North Adams",2014-10-19,70
"Lever Office, North Adams",2014-10-20,139
